BOM ID,Member internalid,Line ID,Item source,Member Quantity,Effective Date,Obsolete Date,Units
422696,200755,23,Stock , 0.20833333 ,14/08/2025,14/08/2025,Test
422696,157565,24,Stock , 0.01000000 ,14/08/2025,14/08/2025,Test
422696,204980,25,Stock , 0.0019607843 ,14/08/2025,14/08/2025,Test
422696,405558,26,Stock , 0.02844828 ,14/08/2025,14/08/2025,Test
422696,116928,27,Stock , 0.00821918 ,14/08/2025,14/08/2025,Test
422696,291547,28,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422696,204980,29,Stock , 0.0009803922 ,14/08/2025,14/08/2025,Test
422696,405558,30,Stock , 0.00047414 ,14/08/2025,,Test
422696,157565,31,Stock , 0.00016667 ,14/08/2025,,Test
422696,116928,32,Stock , 0.00013699 ,14/08/2025,,Test
422696,291544,33,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422696,212047,34,Stock , 0.14400000 ,14/08/2025,14/08/2025,Test
422696,211627,35,Stock , 0.07200000 ,14/08/2025,14/08/2025,Test
422696,343416,36,Stock , 0.14400000 ,14/08/2025,14/08/2025,Test
422696,291546,37,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422696,200755,38,Stock , 0.20833333 ,14/08/2025,14/08/2025,Test
422696,200755,39,Stock , 0.41666667 ,14/08/2025,14/08/2025,Test
422696,157565,40,Stock , 0.01000000 ,14/08/2025,14/08/2025,Test
422696,200754,41,Stock , 0.07610994 ,14/08/2025,14/08/2025,Test
422696,202095,42,Stock , 0.02659574 ,14/08/2025,14/08/2025,Test
422696,116928,43,Stock , 0.01304348 ,14/08/2025,14/08/2025,Test
422696,116929,44,Stock , 0.01241135 ,14/08/2025,14/08/2025,Test
422696,291547,45,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422696,200754,46,Stock , 0.00126850 ,14/08/2025,,Test
422696,202095,47,Stock , 0.00044326 ,14/08/2025,,Test
422696,157565,48,Stock , 0.00016667 ,14/08/2025,,Test
422696,116928,49,Stock , 0.00020548 ,14/08/2025,,Test
422696,116929,50,Stock , 0.00019943 ,14/08/2025,,Test
422696,291548,51,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422696,116928,52,Stock , 1.61815068 ,14/08/2025,14/08/2025,Test
422696,116929,53,Stock , 6.73076923 ,14/08/2025,14/08/2025,Test
422696,291548,54,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422696,116928,55,Stock , 0.05136986 ,14/08/2025,14/08/2025,Test
422696,116929,56,Stock , 0.15384615 ,14/08/2025,14/08/2025,Test
422696,157565,57,Stock , 0.01500000 ,14/08/2025,14/08/2025,Test
422692,291543,1,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422692,344417,2,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422692,291545,3,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422692,236785,4,Stock , 0.00576923 ,14/08/2025,14/08/2025,Test
422692,236778,5,Stock , 0.21000000 ,14/08/2025,14/08/2025,Test
422692,373534,6,Stock , 0.00105000 ,14/08/2025,14/08/2025,Test
422692,211443,7,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422692,211439,8,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422692,116748,9,Stock , 0.00180000 ,14/08/2025,14/08/2025,Test
422692,116747,10,Stock , 0.00108000 ,14/08/2025,14/08/2025,Test
422692,116749,11,Stock , 0.00111504 ,14/08/2025,14/08/2025,Test
422692,116718,12,Stock , 0.00031858 ,14/08/2025,14/08/2025,Test
422692,291546,13,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
